i,k,ap_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
2,0,0
2,1,0
2,2,600
2,3,0
2,4,0
3,0,0
3,1,100
3,2,600
3,3,0
3,4,0
4,0,0
4,1,100
4,2,600
4,3,0
4,4,0
5,0,1110
5,1,60
5,2,600
5,3,0
5,4,0
6,0,1110
6,1,60
6,2,600
6,3,0
6,4,0
7,0,1110
7,1,60
7,2,600
7,3,0
7,4,0
8,0,1110
8,1,60
8,2,600
8,3,0
8,4,0
9,0,1110
9,1,60
9,2,600
9,3,0
9,4,0
10,0,1110
10,1,60
10,2,600
10,3,0
10,4,0
11,0,1110
11,1,60
11,2,600
11,3,0
11,4,0
12,0,1110
12,1,60
12,2,600
12,3,0
12,4,0
13,0,1110
13,1,60
13,2,600
13,3,0
13,4,0
14,0,1110
14,1,60
14,2,600
14,3,0
14,4,0
15,0,1110
15,1,60
15,2,600
15,3,0
15,4,0
16,0,1110
16,1,60
16,2,600
16,3,0
16,4,0
17,0,1110
17,1,60
17,2,600
17,3,0
17,4,0
18,0,1110
18,1,60
18,2,600
18,3,0
18,4,0
19,0,1110
19,1,60
19,2,600
19,3,0
19,4,0
20,0,1110
20,1,60
20,2,600
20,3,0
20,4,0
21,0,1110
21,1,60
21,2,600
21,3,0
21,4,0
22,0,1110
22,1,60
22,2,600
22,3,0
22,4,0
23,0,1110
23,1,60
23,2,600
23,3,0
23,4,0
