i,j,ec_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
2,0,0
2,1,0
2,2,0
2,3,150
2,4,0
2,5,0
2,6,0
2,7,800
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
3,0,41
3,1,0
3,2,0
3,3,100
3,4,120
3,5,0
3,6,0
3,7,800
3,8,0
3,9,100
3,10,0
3,11,80
3,12,30
3,13,10
4,0,123
4,1,0
4,2,0
4,3,450
4,4,100
4,5,500
4,6,0
4,7,800
4,8,33
4,9,80
4,10,20
4,11,320
4,12,130
4,13,60
5,0,82
5,1,0
5,2,0
5,3,100
5,4,40
5,5,40
5,6,0
5,7,480
5,8,33
5,9,300
5,10,30
5,11,160
5,12,130
5,13,30
6,0,82
6,1,0
6,2,20
6,3,50
6,4,160
6,5,120
6,6,0
6,7,320
6,8,66
6,9,120
6,10,45
6,11,240
6,12,60
6,13,10
7,0,41
7,1,0
7,2,180
7,3,50
7,4,20
7,5,20
7,6,0
7,7,160
7,8,33
7,9,20
7,10,30
7,11,80
7,12,50
7,13,10
8,0,41
8,1,0
8,2,80
8,3,50
8,4,40
8,5,20
8,6,0
8,7,160
8,8,33
8,9,20
8,10,25
8,11,80
8,12,80
8,13,20
9,0,41
9,1,200
9,2,60
9,3,50
9,4,20
9,5,60
9,6,0
9,7,160
9,8,33
9,9,40
9,10,5
9,11,80
9,12,80
9,13,10
10,0,41
10,1,80
10,2,100
10,3,50
10,4,20
10,5,80
10,6,0
10,7,160
10,8,33
10,9,100
10,10,10
10,11,120
10,12,50
10,13,10
11,0,41
11,1,100
11,2,60
11,3,50
11,4,20
11,5,20
11,6,0
11,7,320
11,8,132
11,9,40
11,10,30
11,11,160
11,12,50
11,13,10
12,0,41
12,1,60
12,2,80
12,3,100
12,4,20
12,5,100
12,6,74
12,7,160
12,8,33
12,9,40
12,10,5
12,11,80
12,12,50
12,13,10
13,0,41
13,1,100
13,2,100
13,3,100
13,4,40
13,5,40
13,6,296
13,7,160
13,8,33
13,9,20
13,10,5
13,11,80
13,12,100
13,13,10
14,0,41
14,1,60
14,2,40
14,3,50
14,4,20
14,5,20
14,6,148
14,7,480
14,8,33
14,9,20
14,10,5
14,11,80
14,12,50
14,13,10
15,0,41
15,1,60
15,2,80
15,3,50
15,4,20
15,5,40
15,6,222
15,7,320
15,8,33
15,9,20
15,10,5
15,11,80
15,12,50
15,13,20
16,0,41
16,1,360
16,2,40
16,3,50
16,4,80
16,5,20
16,6,74
16,7,160
16,8,33
16,9,20
16,10,20
16,11,80
16,12,50
16,13,10
17,0,41
17,1,140
17,2,40
17,3,50
17,4,20
17,5,40
17,6,148
17,7,160
17,8,33
17,9,20
17,10,5
17,11,80
17,12,100
17,13,20
18,0,41
18,1,80
18,2,60
18,3,50
18,4,40
18,5,20
18,6,222
18,7,480
18,8,33
18,9,20
18,10,5
18,11,80
18,12,50
18,13,10
19,0,41
19,1,40
19,2,40
19,3,50
19,4,20
19,5,20
19,6,222
19,7,160
19,8,33
19,9,60
19,10,5
19,11,80
19,12,50
19,13,10
20,0,41
20,1,40
20,2,40
20,3,100
20,4,20
20,5,20
20,6,148
20,7,160
20,8,33
20,9,20
20,10,10
20,11,80
20,12,60
20,13,10
21,0,41
21,1,60
21,2,40
21,3,150
21,4,20
21,5,20
21,6,148
21,7,160
21,8,33
21,9,20
21,10,10
21,11,80
21,12,50
21,13,10
22,0,41
22,1,40
22,2,180
22,3,50
22,4,80
22,5,60
22,6,74
22,7,480
22,8,33
22,9,20
22,10,10
22,11,80
22,12,50
22,13,10
23,0,41
23,1,40
23,2,40
23,3,200
23,4,40
23,5,20
23,6,74
23,7,320
23,8,33
23,9,20
23,10,5
23,11,80
23,12,50
23,13,30
