i,j,ec_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
2,0,0
2,1,0
2,2,0
2,3,30
2,4,0
2,5,0
2,6,0
2,7,1620
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
3,0,0
3,1,0
3,2,0
3,3,30
3,4,0
3,5,0
3,6,0
3,7,180
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,5
4,0,15
4,1,0
4,2,0
4,3,30
4,4,20
4,5,10
4,6,0
4,7,48
4,8,0
4,9,10
4,10,0
4,11,48
4,12,48
4,13,15
5,0,14
5,1,0
5,2,0
5,3,30
5,4,19
5,5,10
5,6,0
5,7,47
5,8,10
5,9,10
5,10,5
5,11,47
5,12,47
5,13,10
6,0,14
6,1,0
6,2,0
6,3,30
6,4,19
6,5,10
6,6,0
6,7,180
6,8,10
6,9,10
6,10,5
6,11,46
6,12,46
6,13,10
7,0,14
7,1,0
7,2,23
7,3,30
7,4,18
7,5,9
7,6,0
7,7,180
7,8,9
7,9,9
7,10,5
7,11,45
7,12,45
7,13,15
8,0,14
8,1,0
8,2,23
8,3,30
8,4,18
8,5,9
8,6,0
8,7,45
8,8,9
8,9,9
8,10,5
8,11,45
8,12,45
8,13,9
9,0,14
9,1,0
9,2,22
9,3,30
9,4,18
9,5,9
9,6,0
9,7,44
9,8,9
9,9,9
9,10,5
9,11,44
9,12,44
9,13,9
10,0,14
10,1,22
10,2,22
10,3,30
10,4,18
10,5,9
10,6,0
10,7,44
10,8,9
10,9,9
10,10,5
10,11,44
10,12,44
10,13,9
11,0,13
11,1,22
11,2,22
11,3,30
11,4,18
11,5,9
11,6,0
11,7,500
11,8,9
11,9,9
11,10,5
11,11,44
11,12,44
11,13,15
