i,j,ec_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,4480
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
3,0,0
3,1,0
3,2,0
3,3,50
3,4,0
3,5,0
3,6,0
3,7,160
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
4,0,41
4,1,0
4,2,0
4,3,50
4,4,20
4,5,20
4,6,0
4,7,160
4,8,0
4,9,20
4,10,0
4,11,80
4,12,50
4,13,10
5,0,41
5,1,0
5,2,0
5,3,50
5,4,20
5,5,20
5,6,0
5,7,160
5,8,33
5,9,20
5,10,5
5,11,80
5,12,50
5,13,10
6,0,41
6,1,0
6,2,0
6,3,50
6,4,20
6,5,20
6,6,0
6,7,160
6,8,33
6,9,20
6,10,5
6,11,80
6,12,50
6,13,10
7,0,41
7,1,0
7,2,40
7,3,50
7,4,20
7,5,20
7,6,0
7,7,160
7,8,33
7,9,20
7,10,5
7,11,80
7,12,50
7,13,10
8,0,41
8,1,0
8,2,40
8,3,50
8,4,20
8,5,20
8,6,0
8,7,160
8,8,33
8,9,20
8,10,5
8,11,80
8,12,50
8,13,10
9,0,41
9,1,0
9,2,40
9,3,50
9,4,20
9,5,20
9,6,0
9,7,160
9,8,33
9,9,20
9,10,5
9,11,80
9,12,50
9,13,10
10,0,41
10,1,40
10,2,40
10,3,50
10,4,20
10,5,20
10,6,0
10,7,160
10,8,33
10,9,20
10,10,5
10,11,80
10,12,50
10,13,10
11,0,41
11,1,40
11,2,40
11,3,50
11,4,20
11,5,20
11,6,0
11,7,160
11,8,33
11,9,20
11,10,5
11,11,80
11,12,50
11,13,10
