l,i,k,la_value
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,0,5,0
0,1,5,0
0,1,5,0
0,1,5,0
0,1,5,0
0,1,5,0
0,2,5,0
0,2,5,0
0,2,5,0
0,2,5,0
0,2,5,0
0,3,5,0
0,3,5,0
0,3,5,0
0,3,5,0
0,3,5,0
0,4,5,0
0,4,5,0
0,4,5,0
0,4,5,0
0,4,5,0
0,5,5,0
0,5,5,0
0,5,5,0
0,5,5,0
0,5,5,0
0,6,5,0
0,6,5,0
0,6,5,0
0,6,5,0
0,6,5,0
0,7,5,0
0,7,5,1
0,7,5,0
0,7,5,0
0,7,5,0
0,8,5,0
0,8,5,0
0,8,5,0
0,8,5,0
0,8,5,0
0,9,5,0
0,9,5,0
0,9,5,1
0,9,5,0
0,9,5,0
0,10,5,0
0,10,5,0
0,10,5,1
0,10,5,0
0,10,5,0
0,11,5,0
0,11,5,0
0,11,5,1
0,11,5,0
0,11,5,0
1,0,5,0
1,0,5,0
1,0,5,0
1,0,5,0
1,0,5,0
1,1,5,0
1,1,5,0
1,1,5,0
1,1,5,0
1,1,5,0
1,2,5,0
1,2,5,0
1,2,5,0
1,2,5,0
1,2,5,0
1,3,5,0
1,3,5,0
1,3,5,0
1,3,5,1
1,3,5,0
1,4,5,0
1,4,5,0
1,4,5,0
1,4,5,0
1,4,5,0
1,5,5,0
1,5,5,0
1,5,5,0
1,5,5,0
1,5,5,0
1,6,5,0
1,6,5,0
1,6,5,1
1,6,5,0
1,6,5,0
1,7,5,0
1,7,5,0
1,7,5,0
1,7,5,0
1,7,5,0
1,8,5,0
1,8,5,0
1,8,5,1
1,8,5,0
1,8,5,0
1,9,5,0
1,9,5,0
1,9,5,1
1,9,5,0
1,9,5,0
1,10,5,0
1,10,5,0
1,10,5,0
1,10,5,0
1,10,5,0
1,11,5,0
1,11,5,0
1,11,5,1
1,11,5,0
1,11,5,0
2,0,5,0
2,0,5,0
2,0,5,0
2,0,5,0
2,0,5,0
2,1,5,0
2,1,5,0
2,1,5,0
2,1,5,0
2,1,5,0
2,2,5,0
2,2,5,0
2,2,5,0
2,2,5,0
2,2,5,0
2,3,5,0
2,3,5,0
2,3,5,0
2,3,5,0
2,3,5,0
2,4,5,0
2,4,5,0
2,4,5,0
2,4,5,0
2,4,5,0
2,5,5,0
2,5,5,0
2,5,5,0
2,5,5,0
2,5,5,0
2,6,5,0
2,6,5,0
2,6,5,0
2,6,5,0
2,6,5,0
2,7,5,0
2,7,5,0
2,7,5,1
2,7,5,0
2,7,5,0
2,8,5,0
2,8,5,0
2,8,5,1
2,8,5,0
2,8,5,0
2,9,5,0
2,9,5,0
2,9,5,1
2,9,5,0
2,9,5,0
2,10,5,0
2,10,5,0
2,10,5,1
2,10,5,0
2,10,5,0
2,11,5,1
2,11,5,0
2,11,5,0
2,11,5,0
2,11,5,0
3,0,5,0
3,0,5,0
3,0,5,1
3,0,5,0
3,0,5,0
3,1,5,1
3,1,5,0
3,1,5,0
3,1,5,0
3,1,5,0
3,2,5,0
3,2,5,0
3,2,5,1
3,2,5,0
3,2,5,0
3,3,5,0
3,3,5,0
3,3,5,1
3,3,5,0
3,3,5,0
3,4,5,0
3,4,5,0
3,4,5,1
3,4,5,0
3,4,5,0
3,5,5,0
3,5,5,0
3,5,5,1
3,5,5,0
3,5,5,0
3,6,5,0
3,6,5,0
3,6,5,1
3,6,5,0
3,6,5,0
3,7,5,0
3,7,5,0
3,7,5,1
3,7,5,0
3,7,5,0
3,8,5,0
3,8,5,0
3,8,5,1
3,8,5,0
3,8,5,0
3,9,5,0
3,9,5,0
3,9,5,1
3,9,5,0
