l,i,j,lc_value
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,0,5,0
0,0,6,0
0,0,7,0
0,0,8,0
0,0,9,0
0,0,10,0
0,0,11,0
0,0,12,0
0,0,13,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,1,5,0
0,1,6,0
0,1,7,0
0,1,8,0
0,1,9,0
0,1,10,0
0,1,11,0
0,1,12,0
0,1,13,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,2,5,0
0,2,6,0
0,2,7,0
0,2,8,0
0,2,9,0
0,2,10,0
0,2,11,0
0,2,12,0
0,2,13,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,3,5,0
0,3,6,0
0,3,7,0
0,3,8,1
0,3,9,0
0,3,10,0
0,3,11,0
0,3,12,0
0,3,13,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
0,4,5,0
0,4,6,0
0,4,7,0
0,4,8,0
0,4,9,0
0,4,10,0
0,4,11,0
0,4,12,0
0,4,13,0
0,5,0,0
0,5,1,0
0,5,2,0
0,5,3,0
0,5,4,0
0,5,5,0
0,5,6,0
0,5,7,0
0,5,8,0
0,5,9,0
0,5,10,0
0,5,11,0
0,5,12,0
0,5,13,0
0,6,0,0
0,6,1,0
0,6,2,0
0,6,3,0
0,6,4,0
0,6,5,0
0,6,6,0
0,6,7,0
0,6,8,0
0,6,9,0
0,6,10,0
0,6,11,0
0,6,12,0
0,6,13,0
0,7,0,1
0,7,1,0
0,7,2,0
0,7,3,0
0,7,4,0
0,7,5,0
0,7,6,0
0,7,7,0
0,7,8,0
0,7,9,0
0,7,10,0
0,7,11,0
0,7,12,0
0,7,13,0
0,8,0,0
0,8,1,0
0,8,2,0
0,8,3,0
0,8,4,0
0,8,5,0
0,8,6,0
0,8,7,0
0,8,8,0
0,8,9,0
0,8,10,0
0,8,11,0
0,8,12,0
0,8,13,0
0,9,0,0
0,9,1,0
0,9,2,0
0,9,3,0
0,9,4,0
0,9,5,0
0,9,6,0
0,9,7,0
0,9,8,0
0,9,9,0
0,9,10,0
0,9,11,0
0,9,12,0
0,9,13,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,10,8,0
0,10,9,0
0,10,10,0
0,10,11,0
0,10,12,0
0,10,13,0
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,11,8,1
0,11,9,0
0,11,10,0
0,11,11,0
0,11,12,0
0,11,13,0
0,12,0,0
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,12,8,0
0,12,9,0
0,12,10,0
0,12,11,0
0,12,12,0
0,12,13,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,13,8,0
0,13,9,0
0,13,10,0
0,13,11,0
0,13,12,0
0,13,13,0
0,14,0,1
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,14,8,0
0,14,9,0
0,14,10,0
0,14,11,0
0,14,12,0
0,14,13,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,15,7,0
0,15,8,0
0,15,9,0
0,15,10,0
0,15,11,0
0,15,12,0
0,15,13,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,0
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,16,8,0
0,16,9,0
0,16,10,0
0,16,11,0
0,16,12,0
0,16,13,0
0,17,0,1
0,17,1,0
0,17,2,0
0,17,3,0
0,17,4,0
0,17,5,0
0,17,6,0
0,17,7,0
0,17,8,0
0,17,9,0
0,17,10,0
0,17,11,0
0,17,12,0
0,17,13,0
0,18,0,0
0,18,1,0
0,18,2,0
0,18,3,0
0,18,4,0
0,18,5,0
0,18,6,0
0,18,7,0
0,18,8,0
0,18,9,0
0,18,10,0
0,18,11,0
0,18,12,0
0,18,13,0
0,19,0,0
0,19,1,0
0,19,2,0
0,19,3,0
0,19,4,0
0,19,5,0
0,19,6,0
0,19,7,0
0,19,8,0
0,19,9,0
0,19,10,0
0,19,11,0
0,19,12,0
0,19,13,0
0,20,0,0
0,20,1,0
0,20,2,0
0,20,3,0
0,20,4,0
0,20,5,0
0,20,6,0
0,20,7,0
0,20,8,0
0,20,9,0
0,20,10,0
0,20,11,1
0,20,12,0
0,20,13,0
0,21,0,0
0,21,1,0
0,21,2,0
0,21,3,0
0,21,4,0
0,21,5,0
0,21,6,0
0,21,7,0
0,21,8,0
0,21,9,0
0,21,10,0
0,21,11,0
0,21,12,0
0,21,13,0
0,22,0,0
0,22,1,0
0,22,2,0
0,22,3,0
0,22,4,0
0,22,5,0
0,22,6,0
0,22,7,0
0,22,8,0
0,22,9,0
0,22,10,0
0,22,11,0
0,22,12,0
0,22,13,0
0,23,0,0
0,23,1,0
0,23,2,0
0,23,3,0
0,23,4,0
0,23,5,0
0,23,6,0
0,23,7,0
0,23,8,0
0,23,9,0
0,23,10,0
0,23,11,0
0,23,12,0
0,23,13,0
1,0,0,0
1,0,1,0
1,0,2,0
1,0,3,0
1,0,4,0
1,0,5,0
1,0,6,0
1,0,7,1
1,0,8,0
1,0,9,0
1,0,10,0
1,0,11,0
1,0,12,0
1,0,13,0
1,1,0,0
1,1,1,0
1,1,2,0
1,1,3,0
1,1,4,0
1,1,5,0
1,1,6,0
1,1,7,0
1,1,8,0
1,1,9,0
1,1,10,0
1,1,11,0
1,1,12,0
1,1,13,0
1,2,0,0
1,2,1,0
1,2,2,0
1,2,3,0
1,2,4,0
1,2,5,0
1,2,6,0
1,2,7,0
1,2,8,0
1,2,9,0
1,2,10,0
1,2,11,0
1,2,12,0
1,2,13,0
1,3,0,0
1,3,1,0
1,3,2,0
1,3,3,0
1,3,4,0
1,3,5,0
1,3,6,0
1,3,7,0
1,3,8,0
1,3,9,0
1,3,10,0
1,3,11,0
1,3,12,0
1,3,13,0
1,4,0,0
1,4,1,0
1,4,2,0
1,4,3,0
1,4,4,0
1,4,5,0
1,4,6,0
1,4,7,0
1,4,8,0
1,4,9,0
1,4,10,0
1,4,11,0
1,4,12,0
1,4,13,0
1,5,0,0
1,5,1,0
1,5,2,0
1,5,3,0
1,5,4,0
1,5,5,0
1,5,6,0
1,5,7,0
1,5,8,0
1,5,9,0
1,5,10,0
1,5,11,0
1,5,12,0
1,5,13,0
1,6,0,0
1,6,1,0
1,6,2,1
1,6,3,0
1,6,4,0
1,6,5,0
1,6,6,0
1,6,7,0
1,6,8,0
1,6,9,0
1,6,10,0
1,6,11,0
1,6,12,0
1,6,13,0
1,7,0,0
1,7,1,0
1,7,2,0
1,7,3,0
1,7,4,0
1,7,5,0
1,7,6,0
1,7,7,0
1,7,8,0
1,7,9,0
1,7,10,0
1,7,11,0
1,7,12,0
1,7,13,0
1,8,0,0
1,8,1,0
1,8,2,0
1,8,3,0
1,8,4,0
1,8,5,0
1,8,6,0
1,8,7,0
1,8,8,0
1,8,9,0
1,8,10,0
1,8,11,0
1,8,12,0
1,8,13,0
1,9,0,0
1,9,1,0
1,9,2,0
1,9,3,0
1,9,4,0
1,9,5,0
1,9,6,0
1,9,7,0
1,9,8,0
1,9,9,0
1,9,10,0
1,9,11,0
1,9,12,1
1,9,13,0
1,10,0,0
1,10,1,0
1,10,2,0
1,10,3,0
1,10,4,0
1,10,5,0
1,10,6,0
1,10,7,0
1,10,8,0
1,10,9,0
1,10,10,0
1,10,11,0
1,10,12,0
1,10,13,0
1,11,0,0
1,11,1,0
1,11,2,0
1,11,3,0
1,11,4,0
1,11,5,0
1,11,6,0
1,11,7,0
1,11,8,0
1,11,9,0
1,11,10,0
1,11,11,0
1,11,12,0
1,11,13,0
1,12,0,0
1,12,1,0
1,12,2,0
1,12,3,0
1,12,4,0
1,12,5,0
1,12,6,0
1,12,7,0
1,12,8,0
1,12,9,0
1,12,10,0
1,12,11,0
1,12,12,0
1,12,13,0
1,13,0,0
1,13,1,0
1,13,2,0
1,13,3,0
1,13,4,0
1,13,5,0
1,13,6,0
1,13,7,0
1,13,8,0
1,13,9,0
1,13,10,0
1,13,11,0
1,13,12,0
1,13,13,0
1,14,0,1
1,14,1,0
1,14,2,0
1,14,3,0
1,14,4,0
1,14,5,0
1,14,6,0
1,14,7,0
1,14,8,0
1,14,9,0
1,14,10,0
1,14,11,0
1,14,12,0
1,14,13,0
1,15,0,0
1,15,1,0
1,15,2,0
1,15,3,0
1,15,4,0
1,15,5,0
1,15,6,0
1,15,7,0
1,15,8,0
1,15,9,0
1,15,10,0
1,15,11,0
1,15,12,0
1,15,13,0
1,16,0,0
1,16,1,0
1,16,2,0
1,16,3,0
1,16,4,0
1,16,5,0
1,16,6,0
1,16,7,0
1,16,8,0
1,16,9,0
1,16,10,0
1,16,11,0
1,16,12,0
1,16,13,0
1,17,0,1
1,17,1,0
1,17,2,0
1,17,3,0
1,17,4,0
1,17,5,0
1,17,6,0
1,17,7,0
1,17,8,0
1,17,9,0
1,17,10,0
1,17,11,0
1,17,12,0
1,17,13,0
1,18,0,0
1,18,1,0
1,18,2,0
1,18,3,0
1,18,4,0
1,18,5,0
1,18,6,0
1,18,7,0
1,18,8,0
1,18,9,0
1,18,10,0
1,18,11,0
1,18,12,0
1,18,13,0
1,19,0,0
1,19,1,0
1,19,2,0
1,19,3,0
1,19,4,0
1,19,5,0
1,19,6,0
1,19,7,0
1,19,8,0
1,19,9,0
1,19,10,0
1,19,11,0
1,19,12,0
1,19,13,0
1,20,0,0
1,20,1,0
1,20,2,0
1,20,3,0
1,20,4,0
1,20,5,0
1,20,6,0
1,20,7,0
1,20,8,0
1,20,9,0
1,20,10,0
1,20,11,0
1,20,12,0
1,20,13,0
1,21,0,0
1,21,1,0
1,21,2,0
1,21,3,0
1,21,4,0
1,21,5,0
1,21,6,0
1,21,7,0
1,21,8,0
1,21,9,0
1,21,10,0
1,21,11,0
1,21,12,0
1,21,13,0
1,22,0,0
1,22,1,0
1,22,2,0
1,22,3,0
1,22,4,0
1,22,5,0
1,22,6,0
1,22,7,0
1,22,8,0
1,22,9,0
1,22,10,0
1,22,11,0
1,22,12,0
1,22,13,0
1,23,0,0
1,23,1,0
1,23,2,0
1,23,3,0
1,23,4,0
1,23,5,0
1,23,6,0
1,23,7,0
1,23,8,0
1,23,9,0
1,23,10,0
1,23,11,0
1,23,12,0
1,23,13,0
2,0,0,0
2,0,1,0
2,0,2,0
2,0,3,0
2,0,4,0
2,0,5,0
2,0,6,0
2,0,7,0
2,0,8,0
2,0,9,0
2,0,10,0
2,0,11,0
2,0,12,0
2,0,13,0
2,1,0,0
2,1,1,0
2,1,2,0
2,1,3,0
2,1,4,0
2,1,5,0
2,1,6,0
2,1,7,0
2,1,8,0
2,1,9,0
2,1,10,0
2,1,11,0
2,1,12,0
2,1,13,0
2,2,0,0
2,2,1,0
2,2,2,0
2,2,3,0
2,2,4,0
2,2,5,0
2,2,6,0
2,2,7,0
2,2,8,0
2,2,9,0
2,2,10,0
2,2,11,0
2,2,12,1
2,2,13,0
2,3,0,0
2,3,1,0
2,3,2,0
2,3,3,0
2,3,4,0
2,3,5,0
2,3,6,0
2,3,7,0
2,3,8,0
2,3,9,0
2,3,10,0
2,3,11,0
2,3,12,0
2,3,13,0
2,4,0,0
2,4,1,0
2,4,2,0
2,4,3,0
2,4,4,0
2,4,5,0
2,4,6,0
2,4,7,0
2,4,8,0
2,4,9,0
2,4,10,0
2,4,11,0
2,4,12,0
2,4,13,0
2,5,0,0
2,5,1,0
2,5,2,0
2,5,3,0
2,5,4,0
2,5,5,1
2,5,6,0
2,5,7,0
2,5,8,0
2,5,9,0
2,5,10,0
2,5,11,0
2,5,12,0
2,5,13,0
2,6,0,0
2,6,1,0
2,6,2,0
2,6,3,0
2,6,4,0
2,6,5,0
2,6,6,0
2,6,7,0
2,6,8,0
2,6,9,0
2,6,10,0
2,6,11,0
2,6,12,0
2,6,13,0
2,7,0,0
2,7,1,0
2,7,2,0
2,7,3,0
2,7,4,0
2,7,5,0
2,7,6,0
2,7,7,0
2,7,8,0
2,7,9,0
2,7,10,0
2,7,11,0
2,7,12,0
2,7,13,0
2,8,0,0
2,8,1,0
2,8,2,0
2,8,3,0
2,8,4,0
2,8,5,0
2,8,6,0
2,8,7,0
2,8,8,0
2,8,9,0
2,8,10,0
2,8,11,0
2,8,12,0
2,8,13,0
2,9,0,0
2,9,1,0
2,9,2,0
2,9,3,0
2,9,4,0
2,9,5,0
2,9,6,0
2,9,7,0
2,9,8,0
2,9,9,0
2,9,10,0
2,9,11,0
2,9,12,0
2,9,13,0
2,10,0,0
2,10,1,0
2,10,2,0
2,10,3,0
2,10,4,0
2,10,5,0
2,10,6,0
2,10,7,0
2,10,8,0
2,10,9,0
2,10,10,0
2,10,11,0
2,10,12,1
2,10,13,0
2,11,0,0
2,11,1,0
2,11,2,0
2,11,3,0
2,11,4,0
2,11,5,0
2,11,6,0
2,11,7,0
2,11,8,0
2,11,9,0
2,11,10,0
2,11,11,0
2,11,12,0
2,11,13,0
2,12,0,0
2,12,1,0
2,12,2,0
2,12,3,0
2,12,4,0
2,12,5,0
2,12,6,0
2,12,7,0
2,12,8,0
2,12,9,0
2,12,10,0
2,12,11,0
2,12,12,0
2,12,13,0
2,13,0,0
2,13,1,0
2,13,2,0
2,13,3,0
2,13,4,0
2,13,5,0
2,13,6,0
2,13,7,0
2,13,8,0
2,13,9,0
2,13,10,0
2,13,11,0
2,13,12,0
2,13,13,0
2,14,0,0
2,14,1,0
2,14,2,0
2,14,3,0
2,14,4,0
2,14,5,0
2,14,6,0
2,14,7,0
2,14,8,0
2,14,9,0
2,14,10,0
2,14,11,0
2,14,12,0
2,14,13,0
2,15,0,0
2,15,1,0
2,15,2,0
2,15,3,0
2,15,4,0
2,15,5,0
2,15,6,0
2,15,7,0
2,15,8,1
2,15,9,0
2,15,10,0
2,15,11,0
2,15,12,0
2,15,13,0
2,16,0,0
2,16,1,0
2,16,2,0
2,16,3,0
2,16,4,0
2,16,5,0
2,16,6,0
2,16,7,0
2,16,8,0
2,16,9,0
2,16,10,0
2,16,11,0
2,16,12,0
2,16,13,0
2,17,0,0
2,17,1,0
2,17,2,0
2,17,3,0
2,17,4,0
2,17,5,0
2,17,6,0
2,17,7,1
2,17,8,0
2,17,9,0
2,17,10,0
2,17,11,0
2,17,12,0
2,17,13,0
2,18,0,0
2,18,1,0
2,18,2,0
2,18,3,0
2,18,4,0
2,18,5,0
2,18,6,0
2,18,7,0
2,18,8,0
2,18,9,0
2,18,10,0
2,18,11,0
2,18,12,0
2,18,13,0
2,19,0,0
2,19,1,0
2,19,2,0
2,19,3,0
2,19,4,0
2,19,5,0
2,19,6,0
2,19,7,0
2,19,8,0
2,19,9,0
2,19,10,0
2,19,11,0
2,19,12,0
2,19,13,0
2,20,0,0
2,20,1,0
2,20,2,0
2,20,3,0
