i,j,pc_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
3,0,0
3,1,0
3,2,0
3,3,12
3,4,0
3,5,0
3,6,0
3,7,40
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
4,0,12
4,1,0
4,2,0
4,3,12
4,4,16
4,5,8
4,6,0
4,7,40
4,8,0
4,9,8
4,10,0
4,11,40
4,12,40
4,13,8
5,0,12
5,1,0
5,2,0
5,3,12
5,4,16
5,5,8
5,6,0
5,7,40
5,8,8
5,9,8
5,10,4
5,11,40
5,12,40
5,13,8
6,0,12
6,1,0
6,2,0
6,3,12
6,4,16
6,5,8
6,6,0
6,7,40
6,8,8
6,9,8
6,10,4
6,11,40
6,12,40
6,13,8
7,0,12
7,1,0
7,2,20
7,3,12
7,4,16
7,5,8
7,6,0
7,7,40
7,8,8
7,9,8
7,10,4
7,11,40
7,12,40
7,13,8
8,0,12
8,1,0
8,2,20
8,3,12
8,4,16
8,5,8
8,6,0
8,7,40
8,8,8
8,9,8
8,10,4
8,11,40
8,12,40
8,13,8
9,0,12
9,1,0
9,2,20
9,3,12
9,4,16
9,5,8
9,6,0
9,7,40
9,8,8
9,9,8
9,10,4
9,11,40
9,12,40
9,13,8
10,0,12
10,1,20
10,2,20
10,3,12
10,4,16
10,5,8
10,6,0
10,7,40
10,8,8
10,9,8
10,10,4
10,11,40
10,12,40
10,13,8
11,0,12
11,1,20
11,2,20
11,3,12
11,4,16
11,5,8
11,6,0
11,7,40
11,8,8
11,9,8
11,10,4
11,11,40
11,12,40
11,13,8
12,0,12
12,1,20
12,2,20
12,3,12
12,4,16
12,5,8
12,6,0
12,7,40
12,8,8
12,9,8
12,10,4
12,11,40
12,12,40
12,13,8
13,0,12
13,1,20
13,2,20
13,3,12
13,4,16
13,5,8
13,6,8
13,7,40
13,8,8
13,9,8
13,10,4
13,11,40
13,12,40
13,13,8
14,0,12
14,1,20
14,2,20
14,3,12
14,4,16
14,5,8
14,6,8
14,7,40
14,8,8
14,9,8
14,10,4
14,11,40
14,12,40
14,13,8
15,0,12
15,1,20
15,2,20
15,3,12
15,4,16
15,5,8
15,6,8
15,7,40
15,8,8
15,9,8
15,10,4
15,11,40
15,12,40
15,13,8
16,0,12
16,1,20
16,2,20
16,3,12
16,4,16
16,5,8
16,6,8
16,7,40
16,8,8
16,9,8
16,10,4
16,11,40
16,12,40
16,13,8
17,0,12
17,1,20
17,2,20
17,3,12
17,4,16
17,5,8
17,6,8
17,7,40
17,8,8
17,9,8
17,10,4
17,11,40
17,12,40
17,13,8
18,0,12
18,1,20
18,2,20
18,3,12
18,4,16
18,5,8
18,6,8
18,7,40
18,8,8
18,9,8
18,10,4
18,11,40
18,12,40
18,13,8
19,0,12
19,1,20
19,2,20
19,3,12
19,4,16
19,5,8
19,6,8
19,7,40
19,8,8
19,9,8
19,10,4
19,11,40
19,12,40
19,13,8
20,0,12
20,1,20
20,2,20
20,3,12
20,4,16
20,5,8
20,6,8
20,7,40
20,8,8
20,9,8
20,10,4
20,11,40
20,12,40
20,13,8
21,0,12
21,1,20
21,2,20
21,3,12
21,4,16
21,5,8
21,6,8
21,7,40
21,8,8
21,9,8
21,10,4
21,11,40
21,12,40
21,13,8
22,0,12
22,1,20
22,2,20
22,3,12
22,4,16
22,5,8
22,6,8
22,7,40
22,8,8
22,9,8
22,10,4
22,11,40
22,12,40
22,13,8
23,0,12
23,1,20
23,2,20
23,3,12
23,4,16
23,5,8
23,6,8
23,7,40
23,8,8
23,9,8
23,10,4
23,11,40
23,12,40
23,13,8
