i,j,pc_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,0
0,13,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,3360
2,8,0
2,9,0
2,10,0
2,11,0
2,12,0
2,13,0
3,0,0
3,1,0
3,2,0
3,3,40
3,4,0
3,5,0
3,6,0
3,7,128
3,8,0
3,9,0
3,10,0
3,11,0
3,12,0
3,13,0
4,0,34
4,1,0
4,2,0
4,3,41
4,4,16
4,5,16
4,6,0
4,7,133
4,8,0
4,9,16
4,10,0
4,11,66
4,12,41
4,13,8
5,0,35
5,1,0
5,2,0
5,3,42
5,4,17
5,5,17
5,6,0
5,7,137
5,8,28
5,9,17
5,10,4
5,11,68
5,12,42
5,13,8
6,0,35
6,1,0
6,2,0
6,3,43
6,4,17
6,5,17
6,6,0
6,7,140
6,8,28
6,9,17
6,10,4
6,11,70
6,12,43
6,13,8
7,0,36
7,1,0
7,2,35
7,3,44
7,4,17
7,5,17
7,6,0
7,7,142
7,8,29
7,9,17
7,10,4
7,11,71
7,12,44
7,13,8
8,0,36
8,1,0
8,2,36
8,3,45
8,4,18
8,5,18
8,6,0
8,7,144
8,8,29
8,9,18
8,10,4
8,11,72
8,12,45
8,13,9
9,0,37
9,1,0
9,2,36
9,3,45
9,4,18
9,5,18
9,6,0
9,7,145
9,8,30
9,9,18
9,10,4
9,11,72
9,12,45
9,13,9
10,0,37
10,1,36
10,2,36
10,3,45
10,4,18
10,5,18
10,6,0
10,7,146
10,8,30
10,9,18
10,10,4
10,11,73
10,12,45
10,13,9
11,0,37
11,1,36
11,2,36
11,3,46
11,4,18
11,5,18
11,6,0
11,7,147
11,8,30
11,9,18
11,10,4
11,11,73
11,12,46
11,13,9
12,0,38
12,1,37
12,2,37
12,3,46
12,4,18
12,5,18
12,6,0
12,7,148
12,8,30
12,9,18
12,10,4
12,11,74
12,12,46
12,13,9
13,0,38
13,1,37
13,2,37
13,3,46
13,4,18
13,5,18
13,6,69
13,7,149
13,8,30
13,9,18
13,10,4
13,11,74
13,12,46
13,13,9
14,0,38
14,1,37
14,2,37
14,3,46
14,4,18
14,5,18
14,6,69
14,7,150
14,8,30
14,9,18
14,10,4
14,11,75
14,12,46
14,13,9
15,0,38
15,1,37
15,2,37
15,3,47
15,4,18
15,5,18
15,6,69
15,7,150
15,8,31
15,9,18
15,10,4
15,11,75
15,12,47
15,13,9
16,0,38
16,1,37
16,2,37
16,3,47
16,4,18
16,5,18
16,6,69
16,7,151
16,8,31
16,9,18
16,10,4
16,11,75
16,12,47
16,13,9
17,0,38
17,1,37
17,2,37
17,3,47
17,4,18
17,5,18
17,6,70
17,7,151
17,8,31
17,9,18
17,10,4
17,11,75
17,12,47
17,13,9
18,0,38
18,1,38
18,2,38
18,3,47
18,4,19
18,5,19
18,6,70
18,7,152
18,8,31
18,9,19
18,10,4
18,11,76
18,12,47
18,13,9
19,0,39
19,1,38
19,2,38
19,3,47
19,4,19
19,5,19
19,6,70
19,7,152
19,8,31
19,9,19
19,10,4
19,11,76
19,12,47
19,13,9
20,0,39
20,1,38
20,2,38
20,3,47
20,4,19
20,5,19
20,6,70
20,7,152
20,8,31
20,9,19
20,10,4
20,11,76
20,12,47
20,13,9
21,0,39
21,1,38
21,2,38
21,3,47
21,4,19
21,5,19
21,6,70
21,7,153
21,8,31
21,9,19
21,10,4
21,11,76
21,12,47
21,13,9
22,0,39
22,1,38
22,2,38
22,3,47
22,4,19
22,5,19
22,6,70
22,7,153
22,8,31
22,9,19
22,10,4
22,11,76
22,12,47
22,13,9
23,0,39
23,1,38
23,2,38
23,3,48
23,4,19
23,5,19
23,6,71
23,7,153
23,8,31
23,9,19
23,10,4
23,11,76
23,12,48
23,13,9
