i,k,ra_value
0,0,242
0,1,24
0,2,23
0,3,360
0,4,505
1,0,363
1,1,36
1,2,23
1,3,1080
1,4,505
2,0,484
2,1,48
2,2,23
2,3,1080
2,4,505
3,0,604
3,1,60
3,2,23
3,3,1080
3,4,505
4,0,725
4,1,48
4,2,23
4,3,1080
4,4,421
5,0,725
5,1,48
5,2,23
5,3,1260
5,4,421
6,0,725
6,1,48
6,2,23
6,3,1080
6,4,421
7,0,725
7,1,48
7,2,23
7,3,1080
7,4,421
8,0,725
8,1,48
8,2,23
8,3,1080
8,4,421
9,0,725
9,1,48
9,2,23
9,3,1080
9,4,421
10,0,725
10,1,48
10,2,23
10,3,1080
10,4,421
11,0,725
11,1,48
11,2,23
11,3,1080
11,4,421
12,0,725
12,1,48
12,2,23
12,3,1080
12,4,421
13,0,725
13,1,48
13,2,23
13,3,1080
13,4,421
14,0,725
14,1,48
14,2,23
14,3,1080
14,4,421
15,0,725
15,1,48
15,2,23
15,3,1080
15,4,421
16,0,725
16,1,48
16,2,23
16,3,1080
16,4,421
17,0,725
17,1,48
17,2,23
17,3,1080
17,4,421
18,0,725
18,1,48
18,2,23
18,3,1080
18,4,421
19,0,604
19,1,48
19,2,23
19,3,900
19,4,421
20,0,484
20,1,48
20,2,23
20,3,720
20,4,337
21,0,363
21,1,36
21,2,23
21,3,540
21,4,253
22,0,242
22,1,24
22,2,23
22,3,360
22,4,169
23,0,121
23,1,12
23,2,23
23,3,180
23,4,85
