i,k,ra_value
0,0,242
0,1,168
0,2,23
0,3,360
0,4,168
1,0,363
1,1,216
1,2,23
1,3,540
1,4,252
2,0,0
2,1,216
2,2,23
2,3,0
2,4,336
3,0,0
3,1,120
3,2,0
3,3,0
3,4,420
4,0,607
4,1,120
4,2,23
4,3,1066
4,4,420
5,0,611
5,1,120
5,2,23
5,3,1067
5,4,420
6,0,608
6,1,180
6,2,23
6,3,1066
6,4,420
7,0,605
7,1,168
7,2,23
7,3,1066
7,4,420
8,0,581
8,1,120
8,2,23
8,3,1028
8,4,420
9,0,600
9,1,120
9,2,23
9,3,1065
9,4,420
10,0,600
10,1,120
10,2,23
10,3,1065
10,4,420
11,0,599
11,1,180
11,2,23
11,3,1065
11,4,420
12,0,596
12,1,168
12,2,23
12,3,1065
12,4,420
13,0,575
13,1,120
13,2,23
13,3,1058
13,4,420
14,0,595
14,1,120
14,2,23
14,3,1064
14,4,420
15,0,596
15,1,120
15,2,23
15,3,1064
15,4,420
16,0,595
16,1,180
16,2,23
16,3,1064
16,4,420
17,0,595
17,1,168
17,2,23
17,3,1064
17,4,420
18,0,569
18,1,120
18,2,23
18,3,1057
18,4,420
19,0,473
19,1,120
19,2,23
19,3,884
19,4,420
20,0,352
20,1,156
20,2,23
20,3,704
20,4,336
21,0,231
21,1,144
21,2,23
21,3,524
21,4,252
22,0,0
22,1,96
22,2,23
22,3,0
22,4,168
23,0,0
23,1,0
23,2,5
23,3,0
23,4,84
