i,k,ra_value
0,0,484
0,1,120
0,2,68423
0,3,540
0,4,169
1,0,484
1,1,120
1,2,68423
1,3,540
1,4,281
2,0,484
2,1,120
2,2,68423
2,3,720
2,4,337
3,0,604
3,1,120
3,2,67680
3,3,1620
3,4,421
4,0,725
4,1,120
4,2,67298
4,3,1620
4,4,421
5,0,725
5,1,120
5,2,65250
5,3,1620
5,4,421
6,0,725
6,1,120
6,2,64305
6,3,1620
6,4,421
7,0,725
7,1,120
7,2,63360
7,3,1620
7,4,421
8,0,725
8,1,120
8,2,62798
8,3,1620
8,4,421
9,0,725
9,1,120
9,2,62235
9,3,1620
9,4,421
10,0,725
10,1,120
10,2,61673
10,3,1620
10,4,421
11,0,725
11,1,120
11,2,61493
11,3,1620
11,4,421
12,0,725
12,1,120
12,2,61493
12,3,1620
12,4,421
13,0,725
13,1,120
13,2,61493
13,3,1620
13,4,421
14,0,725
14,1,120
14,2,61673
14,3,1620
14,4,421
15,0,725
15,1,120
15,2,62235
15,3,1620
15,4,421
16,0,725
16,1,120
16,2,62798
16,3,1440
16,4,421
17,0,725
17,1,120
17,2,63360
17,3,1620
17,4,421
18,0,725
18,1,120
18,2,64305
18,3,1440
18,4,421
19,0,604
19,1,120
19,2,65813
19,3,1080
19,4,421
20,0,484
20,1,120
20,2,68805
20,3,720
20,4,337
21,0,363
21,1,108
21,2,74610
21,3,540
21,4,253
22,0,242
22,1,96
22,2,80798
22,3,360
22,4,169
23,0,121
23,1,48
23,2,80820
23,3,180
23,4,85
