i,j,vc_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
2,0,0
2,1,0
2,2,0
2,3,120
2,4,0
2,5,0
3,0,50
3,1,0
3,2,0
3,3,120
3,4,200
3,5,200
4,0,50
4,1,0
4,2,0
4,3,120
4,4,200
4,5,200
5,0,50
5,1,0
5,2,0
5,3,120
5,4,200
5,5,200
6,0,50
6,1,0
6,2,120
6,3,120
6,4,200
6,5,200
7,0,50
7,1,0
7,2,120
7,3,120
7,4,200
7,5,200
8,0,50
8,1,0
8,2,120
8,3,120
8,4,200
8,5,200
9,0,50
9,1,80
9,2,120
9,3,120
9,4,200
9,5,200
10,0,50
10,1,78
10,2,120
10,3,120
10,4,200
10,5,200
11,0,50
11,1,78
11,2,120
11,3,120
11,4,200
11,5,200
