i,k,vp_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
2,0,0
2,1,0
2,2,0
2,3,0
2,4,0
3,0,0
3,1,500
3,2,0
3,3,0
3,4,0
4,0,0
4,1,500
4,2,0
4,3,0
4,4,0
5,0,500
5,1,480
5,2,0
5,3,0
5,4,0
6,0,500
6,1,420
6,2,0
6,3,0
6,4,0
7,0,500
7,1,360
7,2,0
7,3,0
7,4,0
8,0,500
8,1,180
8,2,0
8,3,0
8,4,0
9,0,500
9,1,480
9,2,0
9,3,0
9,4,0
10,0,500
10,1,420
10,2,0
10,3,0
10,4,0
11,0,500
11,1,360
11,2,0
11,3,0
11,4,0
12,0,500
12,1,360
12,2,0
12,3,0
12,4,0
13,0,500
13,1,180
13,2,0
13,3,0
13,4,0
14,0,500
14,1,480
14,2,0
14,3,0
14,4,0
15,0,500
15,1,420
15,2,0
15,3,0
15,4,0
16,0,500
16,1,360
16,2,0
16,3,0
16,4,0
17,0,500
17,1,360
17,2,0
17,3,0
17,4,0
18,0,500
18,1,180
18,2,0
18,3,0
18,4,0
19,0,500
19,1,480
19,2,0
19,3,0
19,4,0
20,0,500
20,1,420
20,2,0
20,3,0
20,4,0
21,0,500
21,1,360
21,2,0
21,3,0
21,4,0
22,0,500
22,1,180
22,2,0
22,3,0
22,4,0
23,0,500
23,1,180
23,2,0
23,3,0
23,4,0
