i,k,ap_value
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
1,0,0
1,1,0
1,2,0
1,3,0
1,4,0
2,0,0
2,1,0
2,2,357999600
2,3,0
2,4,0
3,0,0
3,1,540
3,2,357999600
3,3,0
3,4,0
4,0,0
4,1,480
4,2,360000000
4,3,0
4,4,0
5,0,2576
5,1,420
5,2,337999800
5,3,0
5,4,0
6,0,1932
6,1,420
6,2,327999600
6,3,0
6,4,0
7,0,1288
7,1,420
7,2,318000000
7,3,0
7,4,0
8,0,644
8,1,420
8,2,312000000
8,3,0
8,4,0
9,0,3220
9,1,420
9,2,306000000
9,3,0
9,4,0
10,0,3220
10,1,420
10,2,300000000
10,3,0
10,4,0
11,0,3220
11,1,420
11,2,297999600
11,3,0
11,4,0
12,0,3220
12,1,420
12,2,297999600
12,3,0
12,4,0
13,0,3220
13,1,420
13,2,297999600
13,3,0
13,4,0
14,0,3220
14,1,420
14,2,297999600
14,3,0
14,4,0
15,0,3220
15,1,420
15,2,297999600
15,3,0
15,4,0
16,0,3220
16,1,420
16,2,300000000
16,3,0
16,4,0
17,0,3220
17,1,420
17,2,306000000
17,3,0
17,4,0
18,0,3220
18,1,420
18,2,312000000
18,3,0
18,4,0
19,0,3220
19,1,420
19,2,318000000
19,3,0
19,4,0
20,0,2576
20,1,420
20,2,327999600
20,3,0
20,4,0
21,0,1932
21,1,420
21,2,339999600
21,3,0
21,4,0
22,0,1288
22,1,420
22,2,363999600
22,3,0
22,4,0
23,0,644
23,1,240
23,2,417999600
23,3,0
23,4,0
