i,k,ra_value
0,0,242
0,1,120
0,2,13424985
0,3,720
0,4,337
1,0,242
1,1,120
1,2,13424985
1,3,720
1,4,337
2,0,242
2,1,120
2,2,13500000
2,3,720
2,4,337
3,0,242
3,1,120
3,2,13500000
3,3,1620
3,4,337
4,0,484
4,1,120
4,2,13500000
4,3,1620
4,4,337
5,0,484
5,1,120
5,2,12674993
5,3,1620
5,4,337
6,0,484
6,1,120
6,2,12299985
6,3,1620
6,4,337
7,0,484
7,1,120
7,2,11925000
7,3,1620
7,4,337
8,0,484
8,1,120
8,2,11700000
8,3,1620
8,4,337
9,0,484
9,1,120
9,2,11475000
9,3,1620
9,4,337
10,0,484
10,1,120
10,2,11250000
10,3,1620
10,4,337
11,0,484
11,1,120
11,2,11174985
11,3,1620
11,4,337
12,0,484
12,1,120
12,2,11174985
12,3,1620
12,4,337
13,0,484
13,1,120
13,2,11174985
13,3,1620
13,4,337
14,0,484
14,1,120
14,2,11250000
14,3,1620
14,4,337
15,0,435
15,1,120
15,2,11475000
15,3,1620
15,4,337
16,0,387
16,1,120
16,2,11700000
16,3,1440
16,4,337
17,0,339
17,1,120
17,2,11925000
17,3,1620
17,4,337
18,0,290
18,1,120
18,2,12299985
18,3,1440
18,4,337
19,0,242
19,1,120
19,2,12749985
19,3,1080
19,4,337
20,0,194
20,1,120
20,2,13649985
20,3,720
20,4,281
21,0,145
21,1,108
21,2,15674985
21,3,540
21,4,225
22,0,97
22,1,96
22,2,15675008
22,3,360
22,4,141
23,0,49
23,1,48
23,2,15675008
23,3,180
23,4,85
